,metric,train/val,run,epoch,value
0,loss,train,1,1,0.7875239849090576
1,loss,train,1,2,0.5867129564285278
2,binary_accuracy,train,1,1,0.5275397896766663
3,binary_accuracy,train,1,2,0.7148102521896362
4,auc,train,1,1,0.556760311126709
5,auc,train,1,2,0.7893306016921997
6,loss,val,1,1,0.6306955814361572
7,loss,val,1,2,0.5156750082969666
8,binary_accuracy,val,1,1,0.6267281174659729
9,binary_accuracy,val,1,2,0.764976978302002
10,auc,val,1,1,0.7948173880577087
11,auc,val,1,2,0.8529311418533325
12,loss,train,1,1,0.6744547486305237
13,loss,train,1,2,0.4871253967285156
14,binary_accuracy,train,1,1,0.6156670451164246
15,binary_accuracy,train,1,2,0.7870256900787354
16,auc,train,1,1,0.6440314650535583
17,auc,train,1,2,0.8685043454170227
18,loss,val,1,1,0.5714954733848572
19,loss,val,1,2,0.4976515471935272
20,binary_accuracy,val,1,1,0.7465437650680542
21,binary_accuracy,val,1,2,0.7834101319313049
22,auc,val,1,1,0.8349618315696716
23,auc,val,1,2,0.8785471320152283
24,loss,train,2,1,0.6467324495315552
25,loss,train,2,2,0.48598068952560425
26,binary_accuracy,train,2,1,0.6340269446372986
27,binary_accuracy,train,2,2,0.7845777273178101
28,auc,train,2,1,0.6856817007064819
29,auc,train,2,2,0.8573140501976013
30,loss,val,2,1,0.5686134099960327
31,loss,val,2,2,0.4406634569168091
32,binary_accuracy,val,2,1,0.6866359710693359
33,binary_accuracy,val,2,2,0.8110598921775818
34,auc,val,2,1,0.869286298751831
35,auc,val,2,2,0.906796932220459
