,metric,train/val,run,epoch,value
0,loss,train,1,1,0.3018949627876282
1,loss,train,1,2,0.15402138233184814
2,loss,train,1,3,0.10396326333284378
3,loss,train,1,4,0.06818482279777527
4,binary_accuracy,train,1,1,0.8738700151443481
5,binary_accuracy,train,1,2,0.9459443092346191
6,binary_accuracy,train,1,3,0.9622526168823242
7,binary_accuracy,train,1,4,0.9758734703063965
8,auc,train,1,1,0.9456842541694641
9,auc,train,1,2,0.9846788644790649
10,auc,train,1,3,0.9927392601966858
11,auc,train,1,4,0.9964357614517212
12,loss,val,1,1,0.18767207860946655
13,loss,val,1,2,0.12047003954648972
14,loss,val,1,3,0.10248561203479767
15,loss,val,1,4,0.10001154989004135
16,binary_accuracy,val,1,1,0.9371991753578186
17,binary_accuracy,val,1,2,0.9537015557289124
18,binary_accuracy,val,1,3,0.9653908014297485
19,binary_accuracy,val,1,4,0.9637863636016846
20,auc,val,1,1,0.9817349910736084
21,auc,val,1,2,0.9924728870391846
22,auc,val,1,3,0.9938810467720032
23,auc,val,1,4,0.9938726425170898
24,loss,train,2,1,0.3192611336708069
25,loss,train,2,2,0.1554928421974182
26,loss,train,2,3,0.11435459554195404
27,loss,train,2,4,0.08784754574298859
28,binary_accuracy,train,2,1,0.8639751076698303
29,binary_accuracy,train,2,2,0.9449059367179871
30,binary_accuracy,train,2,3,0.9620693922042847
31,binary_accuracy,train,2,4,0.9704983830451965
32,auc,train,2,1,0.9395960569381714
33,auc,train,2,2,0.9845033288002014
34,auc,train,2,3,0.9907349348068237
35,auc,train,2,4,0.9940225481987
36,loss,val,2,1,0.16866713762283325
37,loss,val,2,2,0.12454109638929367
38,loss,val,2,3,0.15190809965133667
39,loss,val,2,4,0.10724169760942459
40,binary_accuracy,val,2,1,0.9452211856842041
41,binary_accuracy,val,2,2,0.9637863636016846
42,binary_accuracy,val,2,3,0.9495759606361389
43,binary_accuracy,val,2,4,0.9635571837425232
44,auc,val,2,1,0.9817504286766052
45,auc,val,2,2,0.9898735284805298
46,auc,val,2,3,0.9890711307525635
47,auc,val,2,4,0.9930508732795715
48,loss,train,3,1,0.36631137132644653
49,loss,train,3,2,0.16690857708454132
50,loss,train,3,3,0.11596586555242538
51,loss,train,3,4,0.08400259166955948
52,binary_accuracy,train,3,1,0.8323357105255127
53,binary_accuracy,train,3,2,0.9414854645729065
54,binary_accuracy,train,3,3,0.9589543342590332
55,binary_accuracy,train,3,4,0.9704983830451965
56,auc,train,3,1,0.9189369678497314
57,auc,train,3,2,0.9820703268051147
58,auc,train,3,3,0.9910340309143066
59,auc,train,3,4,0.9948631525039673
60,loss,val,3,1,0.17897924780845642
61,loss,val,3,2,0.1557042896747589
62,loss,val,3,3,0.10481078922748566
63,loss,val,3,4,0.08886045217514038
64,binary_accuracy,val,3,1,0.9369699954986572
65,binary_accuracy,val,3,2,0.9468255639076233
66,binary_accuracy,val,3,3,0.9614943861961365
67,binary_accuracy,val,3,4,0.9708915948867798
68,auc,val,3,1,0.9818412065505981
69,auc,val,3,2,0.9844785332679749
70,auc,val,3,3,0.992048442363739
71,auc,val,3,4,0.993205189704895
72,loss,train,4,1,0.3184937536716461
73,loss,train,4,2,0.14536017179489136
74,loss,train,4,3,0.10005561262369156
75,loss,train,4,4,0.06805804371833801
76,binary_accuracy,train,4,1,0.8650745153427124
77,binary_accuracy,train,4,2,0.9515636563301086
78,binary_accuracy,train,4,3,0.9652455449104309
79,binary_accuracy,train,4,4,0.9754458665847778
80,auc,train,4,1,0.9399095773696899
81,auc,train,4,2,0.9861698746681213
82,auc,train,4,3,0.9930115342140198
83,auc,train,4,4,0.9966942071914673
84,loss,val,4,1,0.2228105366230011
85,loss,val,4,2,0.11699726432561874
86,loss,val,4,3,0.09002495557069778
87,loss,val,4,4,0.07663121074438095
88,binary_accuracy,val,4,1,0.9094659686088562
89,binary_accuracy,val,4,2,0.9612652063369751
90,binary_accuracy,val,4,3,0.9704331755638123
91,binary_accuracy,val,4,4,0.9754756093025208
92,auc,val,4,1,0.9799568057060242
93,auc,val,4,2,0.9908890128135681
94,auc,val,4,3,0.9941763281822205
95,auc,val,4,4,0.9952006936073303
96,loss,train,5,1,0.3223777413368225
97,loss,train,5,2,0.15567311644554138
98,loss,train,5,3,0.10702169686555862
99,loss,train,5,4,0.08083504438400269
100,binary_accuracy,train,5,1,0.8616540431976318
101,binary_accuracy,train,5,2,0.9433178305625916
102,binary_accuracy,train,5,3,0.9609088897705078
103,binary_accuracy,train,5,4,0.9709870219230652
104,auc,train,5,1,0.9388932585716248
105,auc,train,5,2,0.9846684336662292
106,auc,train,5,3,0.9921359419822693
107,auc,train,5,4,0.9950813055038452
108,loss,val,5,1,0.16616077721118927
109,loss,val,5,2,0.14739899337291718
110,loss,val,5,3,0.09020590037107468
111,loss,val,5,4,0.07553330063819885
112,binary_accuracy,val,5,1,0.945908784866333
113,binary_accuracy,val,5,2,0.9484300017356873
114,binary_accuracy,val,5,3,0.9708915948867798
115,binary_accuracy,val,5,4,0.9750171899795532
116,auc,val,5,1,0.9832254648208618
117,auc,val,5,2,0.9867983460426331
118,auc,val,5,3,0.9940230846405029
119,auc,val,5,4,0.9960174560546875
120,loss,train,6,1,0.31815260648727417
121,loss,train,6,2,0.15892982482910156
122,loss,train,6,3,0.11945438385009766
123,loss,train,6,4,0.08193609118461609
124,binary_accuracy,train,6,1,0.8654410243034363
125,binary_accuracy,train,6,2,0.9418519139289856
126,binary_accuracy,train,6,3,0.9571830034255981
127,binary_accuracy,train,6,4,0.9707427024841309
128,auc,train,6,1,0.9401399493217468
129,auc,train,6,2,0.98394376039505
130,auc,train,6,3,0.990260899066925
131,auc,train,6,4,0.9952800273895264
132,loss,val,6,1,0.22895173728466034
133,loss,val,6,2,0.12265606969594955
134,loss,val,6,3,0.10621827840805054
135,loss,val,6,4,0.09301772713661194
136,binary_accuracy,val,6,1,0.9165711402893066
137,binary_accuracy,val,6,2,0.9555351734161377
138,binary_accuracy,val,6,3,0.9628695845603943
139,binary_accuracy,val,6,4,0.9647032022476196
140,auc,val,6,1,0.9685379266738892
141,auc,val,6,2,0.9900431036949158
142,auc,val,6,3,0.9925898313522339
143,auc,val,6,4,0.995222270488739
144,loss,train,7,1,0.29813292622566223
145,loss,train,7,2,0.14984452724456787
146,loss,train,7,3,0.09624844789505005
147,loss,train,7,4,0.06632050126791
148,binary_accuracy,train,7,1,0.8780234456062317
149,binary_accuracy,train,7,2,0.9435011148452759
150,binary_accuracy,train,7,3,0.9661006331443787
151,binary_accuracy,train,7,4,0.9761788249015808
152,auc,train,7,1,0.9474753141403198
153,auc,train,7,2,0.9857319593429565
154,auc,train,7,3,0.9934360980987549
155,auc,train,7,4,0.9966909885406494
156,loss,val,7,1,0.1633821427822113
157,loss,val,7,2,0.14455121755599976
158,loss,val,7,3,0.09051875025033951
159,loss,val,7,4,0.07658425718545914
160,binary_accuracy,val,7,1,0.9454503655433655
161,binary_accuracy,val,7,2,0.9479715824127197
162,binary_accuracy,val,7,3,0.9697455763816833
163,binary_accuracy,val,7,4,0.9729543924331665
164,auc,val,7,1,0.9847452640533447
165,auc,val,7,2,0.9899750351905823
166,auc,val,7,3,0.994451105594635
167,auc,val,7,4,0.9960410594940186
168,loss,train,8,1,0.32425999641418457
169,loss,train,8,2,0.1656494289636612
170,loss,train,8,3,0.12612487375736237
171,loss,train,8,4,0.09729521721601486
172,binary_accuracy,train,8,1,0.8623870015144348
173,binary_accuracy,train,8,2,0.9417908787727356
174,binary_accuracy,train,8,3,0.9568164944648743
175,binary_accuracy,train,8,4,0.9653066396713257
176,auc,train,8,1,0.9378233551979065
177,auc,train,8,2,0.9821755290031433
178,auc,train,8,3,0.9892919063568115
179,auc,train,8,4,0.9932788610458374
180,loss,val,8,1,0.16826231777668
181,loss,val,8,2,0.15452216565608978
182,loss,val,8,3,0.1582060605287552
183,loss,val,8,4,0.13140705227851868
184,binary_accuracy,val,8,1,0.9404079914093018
185,binary_accuracy,val,8,2,0.9415539503097534
186,binary_accuracy,val,8,3,0.9438459873199463
187,binary_accuracy,val,8,4,0.9553059935569763
188,auc,val,8,1,0.9825361967086792
189,auc,val,8,2,0.9864497780799866
190,auc,val,8,3,0.98837810754776
191,auc,val,8,4,0.9924743175506592
192,loss,train,9,1,0.3194369673728943
193,loss,train,9,2,0.15468500554561615
194,loss,train,9,3,0.11114649474620819
195,loss,train,9,4,0.08297702670097351
196,binary_accuracy,train,9,1,0.8650134205818176
197,binary_accuracy,train,9,2,0.9435011148452759
198,binary_accuracy,train,9,3,0.9607867002487183
199,binary_accuracy,train,9,4,0.9691546559333801
200,auc,train,9,1,0.9401053190231323
201,auc,train,9,2,0.9845492839813232
202,auc,train,9,3,0.9913972020149231
203,auc,train,9,4,0.9952545166015625
204,loss,val,9,1,0.2922137379646301
205,loss,val,9,2,0.12185852974653244
206,loss,val,9,3,0.12338514626026154
207,loss,val,9,4,0.12506109476089478
208,binary_accuracy,val,9,1,0.8750859498977661
209,binary_accuracy,val,9,2,0.957368791103363
210,binary_accuracy,val,9,3,0.9520971775054932
211,binary_accuracy,val,9,4,0.9537015557289124
212,auc,val,9,1,0.9765190482139587
213,auc,val,9,2,0.9917485117912292
214,auc,val,9,3,0.9913945198059082
215,auc,val,9,4,0.9933232665061951
216,loss,train,10,1,0.34495750069618225
217,loss,train,10,2,0.1871986985206604
218,loss,train,10,3,0.13516874611377716
219,loss,train,10,4,0.098509281873703
220,binary_accuracy,train,10,1,0.8479110598564148
221,binary_accuracy,train,10,2,0.9315904974937439
222,binary_accuracy,train,10,3,0.9508917927742004
223,binary_accuracy,train,10,4,0.9657952785491943
224,auc,train,10,1,0.9303892850875854
225,auc,train,10,2,0.9781427979469299
226,auc,train,10,3,0.9879316687583923
227,auc,train,10,4,0.9931417107582092
228,loss,val,10,1,0.16427505016326904
229,loss,val,10,2,0.12905436754226685
230,loss,val,10,3,0.1216653361916542
231,loss,val,10,4,0.1585744321346283
232,binary_accuracy,val,10,1,0.9436167478561401
