,metric,train/val,run,epoch,value
0,binary_accuracy,train,1,0,0.78892577
1,auc,train,1,0,0.885282
2,loss,train,1,0,0.4276023
3,binary_accuracy,val,1,0,0.91779417
4,auc,val,1,0,0.97030944
5,loss,val,1,0,0.2300319
6,binary_accuracy,train,1,1,0.92434734
7,auc,train,1,1,0.9751646
8,loss,train,1,1,0.20160843
9,binary_accuracy,val,1,1,0.9513958
10,auc,val,1,1,0.9875148
11,loss,val,1,1,0.13892649
12,binary_accuracy,train,1,2,0.9470721
13,auc,train,1,2,0.9866502
14,loss,train,1,2,0.14475225
15,binary_accuracy,val,1,2,0.9514259
16,auc,val,1,2,0.98946583
17,loss,val,1,2,0.15280315
18,binary_accuracy,train,1,3,0.9610962
19,auc,train,1,3,0.9919585
20,loss,train,1,3,0.10931834
21,binary_accuracy,val,1,3,0.9591885
22,auc,val,1,3,0.9912791
23,loss,val,1,3,0.11929121
24,binary_accuracy,train,1,4,0.9665974
25,auc,train,1,4,0.9936288
26,loss,train,1,4,0.094115354
27,binary_accuracy,val,1,4,0.9594673
28,auc,val,1,4,0.9945827
29,loss,val,1,4,0.10721202
30,binary_accuracy,train,2,0,0.8415166
31,auc,train,2,0,0.925144
32,loss,train,2,0,0.35635138
33,binary_accuracy,val,2,0,0.93753916
34,auc,val,2,0,0.98032075
35,loss,val,2,0,0.19244447
36,binary_accuracy,train,2,1,0.94111514
37,auc,train,2,1,0.9816414
38,loss,train,2,1,0.16920681
39,binary_accuracy,val,2,1,0.95425665
40,auc,val,2,1,0.98748064
41,loss,val,2,1,0.13732527
42,binary_accuracy,train,2,2,0.955724
43,auc,train,2,2,0.98957527
44,loss,train,2,2,0.123992294
45,binary_accuracy,val,2,2,0.9698622
46,auc,val,2,2,0.9942778
47,loss,val,2,2,0.090032846
48,binary_accuracy,train,2,3,0.9692377
49,auc,train,2,3,0.99485195
50,loss,train,2,3,0.085592896
51,binary_accuracy,val,2,3,0.9704564
52,auc,val,2,3,0.9949348
53,loss,val,2,3,0.08442404
54,binary_accuracy,train,2,4,0.9760923
55,auc,train,2,4,0.9962127
56,loss,train,2,4,0.0676074
57,binary_accuracy,val,2,4,0.97077566
58,auc,val,2,4,0.99589515
59,loss,val,2,4,0.077361055
60,binary_accuracy,train,3,0,0.8433624
61,auc,train,3,0,0.9296322
62,loss,train,3,0,0.34247914
63,binary_accuracy,val,3,0,0.9377943
64,auc,val,3,0,0.9849593
65,loss,val,3,0,0.1759784
66,binary_accuracy,train,3,1,0.94348836
67,auc,train,3,1,0.98475033
68,loss,train,3,1,0.15549381
69,binary_accuracy,val,3,1,0.95174515
70,auc,val,3,1,0.9875995
71,loss,val,3,1,0.13736169
72,binary_accuracy,train,3,2,0.9590163
73,auc,train,3,2,0.9910447
74,loss,train,3,2,0.11477987
75,binary_accuracy,val,3,2,0.9684925
76,auc,val,3,2,0.9934173
77,loss,val,3,2,0.09294309
78,binary_accuracy,train,3,3,0.9676781
79,auc,train,3,3,0.9941557
80,loss,train,3,3,0.09076624
81,binary_accuracy,val,3,3,0.9748852
82,auc,val,3,3,0.994648
83,loss,val,3,3,0.08519502
84,binary_accuracy,train,3,4,0.9751981
85,auc,train,3,4,0.9962052
86,loss,train,3,4,0.06986769
87,binary_accuracy,val,3,4,0.9762149
88,auc,val,3,4,0.9958851
89,loss,val,3,4,0.07187805
90,binary_accuracy,train,4,0,0.8296023
91,auc,train,4,0,0.9164383
92,loss,train,4,0,0.36982232
93,binary_accuracy,val,4,0,0.91159874
94,auc,val,4,0,0.98048776
95,loss,val,4,0,0.22907071
96,binary_accuracy,train,4,1,0.9381806
97,auc,train,4,1,0.9812506
98,loss,train,4,1,0.17235082
99,binary_accuracy,val,4,1,0.959833
100,auc,val,4,1,0.9893443
101,loss,val,4,1,0.12101781
102,binary_accuracy,train,4,2,0.9479767
103,auc,train,4,2,0.9869411
104,loss,train,4,2,0.1421648
105,binary_accuracy,val,4,2,0.96023303
106,auc,val,4,2,0.991119
107,loss,val,4,2,0.11778693
108,binary_accuracy,train,4,3,0.96249616
109,auc,train,4,3,0.9922174
110,loss,train,4,3,0.1057664
111,binary_accuracy,val,4,3,0.96795535
112,auc,val,4,3,0.9932621
113,loss,val,4,3,0.09894609
114,binary_accuracy,train,4,4,0.97152466
