,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.9426125526428223,0.9423589706420898,0.9318225383758545,0.9534010887145996,0.006433529330537817
1,auc,train,2,0.9852800607681275,0.9858685731887817,0.980964183807373,0.9876971244812012,0.0022796110553104324
2,auc,train,3,0.99272580742836,0.9927729070186615,0.9904366135597229,0.9941414594650269,0.001081633475100907
3,auc,train,4,0.9959051966667175,0.9961949586868286,0.9944716095924377,0.9963988661766052,0.0006552392342739844
4,auc,val,1,0.9804327130317688,0.9802316427230835,0.9747840762138367,0.9871540069580078,0.004251970816658362
5,auc,val,2,0.9888921916484833,0.9901974201202393,0.976210355758667,0.9925010800361633,0.004779932562379763
6,auc,val,3,0.9922197043895722,0.9933183789253235,0.9797925353050232,0.9962613582611084,0.004604212533928411
7,auc,val,4,0.9928038537502288,0.9937923848628998,0.9849923253059387,0.9953103065490723,0.003033645280215192
8,binary_accuracy,train,1,0.8695615053176879,0.8685415983200073,0.8598387837409973,0.8846952319145203,0.008969253690640689
9,binary_accuracy,train,2,0.9458653867244721,0.9470196664333344,0.938316822052002,0.9507145285606384,0.004466900915626427
10,binary_accuracy,train,3,0.9628740787506104,0.9630817174911499,0.9571882486343384,0.966471254825592,0.002685251563832452
11,binary_accuracy,train,4,0.9736777901649475,0.9735251069068909,0.9675705432891846,0.9767924547195435,0.002841743460233087
12,binary_accuracy,val,1,0.9249427497386933,0.9234997928142548,0.9035730361938477,0.9434264898300171,0.011686943061979748
13,binary_accuracy,val,2,0.9506871283054352,0.9552221894264221,0.915483295917511,0.965643584728241,0.014763341618010547
14,binary_accuracy,val,3,0.9623453974723816,0.9669033288955688,0.9225835800170898,0.9727439284324646,0.014532615312440446
15,binary_accuracy,val,4,0.9627118647098541,0.9657581150531769,0.930600106716156,0.9748052954673767,0.012570148254999244
16,loss,train,1,0.31023599207401276,0.31167949736118317,0.2808862626552582,0.3361268937587738,0.01705299352780186
17,loss,train,2,0.1506281942129135,0.14776504039764404,0.13899438083171844,0.1714267134666443,0.01148541783513782
18,loss,train,3,0.1029321737587452,0.10217960551381111,0.09213286638259888,0.11920700967311859,0.007757899295272189
19,loss,train,4,0.07419714331626892,0.07284200191497803,0.06793349236249924,0.08817297965288162,0.006638844771452827
20,loss,val,1,0.19936681538820267,0.1939665451645851,0.15159593522548676,0.24381978809833527,0.028299929560397057
21,loss,val,2,0.14102530255913734,0.12745589017868042,0.11169015616178513,0.2550780177116394,0.04279943679006876
22,loss,val,3,0.11079926267266274,0.10029362887144089,0.08533195406198502,0.22789444029331207,0.0425444747208311
23,loss,val,4,0.11229881122708321,0.09905654191970825,0.07596491277217865,0.22564639151096344,0.043019313260003356
