,metric,train/val,run,epoch,value
0,loss,train,1,1,0.4316463768482208
1,loss,train,1,2,0.23278489708900452
2,loss,train,1,3,0.18958716094493866
3,loss,train,1,4,0.1309574395418167
4,binary_accuracy,train,1,1,0.8022474646568298
5,binary_accuracy,train,1,2,0.9163307547569275
6,binary_accuracy,train,1,3,0.9292781352996826
7,binary_accuracy,train,1,4,0.9541956782341003
8,auc,train,1,1,0.8877797722816467
9,auc,train,1,2,0.9671287536621094
10,auc,train,1,3,0.977505087852478
11,auc,train,1,4,0.9887306094169617
12,loss,val,1,1,0.30206817388534546
13,loss,val,1,2,0.190741628408432
14,loss,val,1,3,0.17001968622207642
15,loss,val,1,4,0.16819369792938232
16,binary_accuracy,val,1,1,0.8836463689804077
17,binary_accuracy,val,1,2,0.939074695110321
18,binary_accuracy,val,1,3,0.9431974291801453
19,binary_accuracy,val,1,4,0.9386165738105774
20,auc,val,1,1,0.9550965428352356
21,auc,val,1,2,0.9778509736061096
22,auc,val,1,3,0.9827907681465149
23,auc,val,1,4,0.9858781099319458
24,loss,train,1,1,0.38350239396095276
25,loss,train,1,2,0.19370901584625244
26,loss,train,1,3,0.12872491776943207
27,loss,train,1,4,0.09885481745004654
28,binary_accuracy,train,1,1,0.826065719127655
29,binary_accuracy,train,1,2,0.9301331639289856
30,binary_accuracy,train,1,3,0.9546842575073242
31,binary_accuracy,train,1,4,0.9657994508743286
32,auc,train,1,1,0.9113820791244507
33,auc,train,1,2,0.9768500924110413
34,auc,train,1,3,0.9888589978218079
35,auc,train,1,4,0.9929648041725159
36,loss,val,1,1,0.32254642248153687
37,loss,val,1,2,0.16700300574302673
38,loss,val,1,3,0.1361277848482132
39,loss,val,1,4,0.10930599272251129
40,binary_accuracy,val,1,1,0.8625744581222534
41,binary_accuracy,val,1,2,0.9367842674255371
42,binary_accuracy,val,1,3,0.9450297951698303
43,binary_accuracy,val,1,4,0.963353157043457
44,auc,val,1,1,0.9680786728858948
45,auc,val,1,2,0.9826380014419556
46,auc,val,1,3,0.9891229867935181
47,auc,val,1,4,0.9914926290512085
48,loss,train,2,1,0.4421922564506531
49,loss,train,2,2,0.23505818843841553
50,loss,train,2,3,0.18338772654533386
51,loss,train,2,4,0.1409773826599121
52,binary_accuracy,train,2,1,0.8023695945739746
53,binary_accuracy,train,2,2,0.9119335412979126
54,binary_accuracy,train,2,3,0.9334310293197632
55,binary_accuracy,train,2,4,0.9480884075164795
56,auc,train,2,1,0.8818990588188171
57,auc,train,2,2,0.9665893912315369
58,auc,train,2,3,0.9790537357330322
59,auc,train,2,4,0.9872528910636902
60,loss,val,2,1,0.2699010670185089
61,loss,val,2,2,0.2222619205713272
62,loss,val,2,3,0.19695110619068146
63,loss,val,2,4,0.1931108981370926
64,binary_accuracy,val,2,1,0.9083829522132874
65,binary_accuracy,val,2,2,0.9244159460067749
66,binary_accuracy,val,2,3,0.9381585121154785
67,binary_accuracy,val,2,4,0.9312872290611267
68,auc,val,2,1,0.9565371870994568
69,auc,val,2,2,0.9723519682884216
70,auc,val,2,3,0.9751003384590149
71,auc,val,2,4,0.9795103669166565
72,loss,train,2,1,0.3743772804737091
73,loss,train,2,2,0.2109379917383194
74,loss,train,2,3,0.14560893177986145
75,loss,train,2,4,0.10741317272186279
76,binary_accuracy,train,2,1,0.83473801612854
77,binary_accuracy,train,2,2,0.9219494462013245
78,binary_accuracy,train,2,3,0.9474776983261108
79,binary_accuracy,train,2,4,0.9616464972496033
80,auc,train,2,1,0.9150210022926331
81,auc,train,2,2,0.9726272821426392
