,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,0,0.72672546,0.7285747,0.6777104,0.7673141,0.03236129656585789
1,auc,train,1,0.8608981,0.86208725,0.8395183,0.8809773,0.015516959188602117
2,auc,train,2,0.916949,0.91636944,0.90393823,0.93076223,0.009248821241378132
3,auc,train,3,0.93992186,0.93923426,0.93005353,0.9492161,0.006484338775905294
4,auc,train,4,0.955606,0.9569406,0.94570756,0.96220434,0.004728853037867185
5,auc,val,0,0.82359827,0.8476634,0.6290864,0.9034825,0.08301570238966124
6,auc,val,1,0.9276974,0.92781633,0.91130203,0.9488626,0.010983069812625196
7,auc,val,2,0.9526905,0.95089203,0.94522405,0.96140873,0.005689233642368846
8,auc,val,3,0.9657011,0.9666883,0.95997375,0.9706382,0.0038748462723317517
9,auc,val,4,0.97399545,0.97455466,0.9667689,0.97701424,0.0029547064049458486
10,binary_accuracy,train,0,0.65944725,0.65899205,0.6189777,0.69515413,0.0278886485835459
11,binary_accuracy,train,1,0.787364,0.793316,0.7602224,0.81229186,0.017975191138304984
12,binary_accuracy,train,2,0.84629667,0.8485492,0.828533,0.86331075,0.011702172535931796
13,binary_accuracy,train,3,0.8775553,0.87662494,0.8641536,0.8917074,0.008543948337980545
14,binary_accuracy,train,4,0.89932257,0.9005722,0.88431144,0.9067147,0.007056133419777655
15,binary_accuracy,val,0,0.6793466,0.69076705,0.53818184,0.82306826,0.10705039056907456
16,binary_accuracy,val,1,0.85274434,0.85306823,0.8405114,0.8746023,0.010019754289789346
17,binary_accuracy,val,2,0.8855114,0.8852557,0.87642044,0.9002842,0.007812284284192741
18,binary_accuracy,val,3,0.9069091,0.90732956,0.89829546,0.91647726,0.006509810951340263
19,binary_accuracy,val,4,0.9247898,0.9247728,0.9123295,0.93318176,0.00521443100648733
20,loss,train,0,0.62687796,0.62339836,0.59625065,0.66498566,0.02437452551955434
21,loss,train,1,0.4810785,0.47885504,0.45069388,0.52025956,0.023393538794464198
22,loss,train,2,0.37495238,0.38058847,0.34107983,0.40240365,0.021499608804862323
23,loss,train,3,0.31819397,0.321684,0.2915613,0.34608546,0.018034185159924186
24,loss,train,4,0.2727437,0.26843542,0.25123963,0.30412897,0.015143272794247205
25,loss,val,0,0.6704933,0.6757674,0.64228827,0.690384,0.016916868190574308
26,loss,val,1,0.39204517,0.37948018,0.33377403,0.5029632,0.05452183202937156
27,loss,val,2,0.28994602,0.29206508,0.26675949,0.323518,0.017975463624658558
28,loss,val,3,0.25146216,0.25314957,0.23042229,0.27224085,0.016804144653230667
29,loss,val,4,0.21400443,0.21357593,0.19861093,0.2381323,0.010769651686795797
