,metric,train/val,run,epoch,value
0,loss,train,1,1,0.6975023746490479
1,loss,train,1,2,0.5498693585395813
2,loss,train,1,3,0.4760952889919281
3,loss,train,1,4,0.3780801296234131
4,loss,train,1,5,0.3091677725315094
5,binary_accuracy,train,1,1,0.5972434878349304
6,binary_accuracy,train,1,2,0.7503828406333923
7,binary_accuracy,train,1,3,0.7871363162994385
8,binary_accuracy,train,1,4,0.8499234318733215
9,binary_accuracy,train,1,5,0.8652373552322388
10,auc,train,1,1,0.6332541108131409
11,auc,train,1,2,0.8254535794258118
12,auc,train,1,3,0.8646301031112671
13,auc,train,1,4,0.9160082936286926
14,auc,train,1,5,0.9413456916809082
15,loss,val,1,1,0.6094366908073425
16,loss,val,1,2,0.5356466770172119
17,loss,val,1,3,0.46623966097831726
18,loss,val,1,4,0.45171883702278137
19,loss,val,1,5,0.4292130768299103
20,binary_accuracy,val,1,1,0.7068965435028076
21,binary_accuracy,val,1,2,0.7126436829566956
22,binary_accuracy,val,1,3,0.7701149582862854
23,binary_accuracy,val,1,4,0.8160919547080994
24,binary_accuracy,val,1,5,0.8218390941619873
25,auc,val,1,1,0.8226083517074585
26,auc,val,1,2,0.8403805494308472
27,auc,val,1,3,0.8673361539840698
28,auc,val,1,4,0.8788319230079651
29,auc,val,1,5,0.8960094451904297
30,loss,train,2,1,0.8052837252616882
31,loss,train,2,2,0.6131342053413391
32,loss,train,2,3,0.5358061790466309
33,loss,train,2,4,0.5055186152458191
34,loss,train,2,5,0.43122413754463196
35,binary_accuracy,train,2,1,0.5344563722610474
36,binary_accuracy,train,2,2,0.6952526569366455
37,binary_accuracy,train,2,3,0.7871363162994385
38,binary_accuracy,train,2,4,0.8009188175201416
39,binary_accuracy,train,2,5,0.8223583698272705
40,auc,train,2,1,0.5423617362976074
41,auc,train,2,2,0.7378919124603271
42,auc,train,2,3,0.8353708386421204
43,auc,train,2,4,0.8443968296051025
44,auc,train,2,5,0.8878704309463501
45,loss,val,2,1,0.6509178280830383
46,loss,val,2,2,0.5579743385314941
47,loss,val,2,3,0.5568538308143616
48,loss,val,2,4,0.5541993975639343
49,loss,val,2,5,0.5218461155891418
50,binary_accuracy,val,2,1,0.6781609058380127
51,binary_accuracy,val,2,2,0.7931034564971924
52,binary_accuracy,val,2,3,0.7356321811676025
53,binary_accuracy,val,2,4,0.7873563170433044
54,binary_accuracy,val,2,5,0.7586206793785095
55,auc,val,2,1,0.7704149484634399
56,auc,val,2,2,0.8276295065879822
57,auc,val,2,3,0.83225417137146
58,auc,val,2,4,0.8502246141433716
59,auc,val,2,5,0.8441463708877563
