,metric,train/val,run,epoch,value
0,loss,train,1,1,0.6848284602165222
1,loss,train,1,2,0.4985794723033905
2,loss,train,1,3,0.3973442316055298
3,loss,train,1,4,0.3061222434043884
4,loss,train,1,5,0.24373620748519897
5,binary_accuracy,train,1,1,0.5945945978164673
6,binary_accuracy,train,1,2,0.7702702879905701
7,binary_accuracy,train,1,3,0.8310810923576355
8,binary_accuracy,train,1,4,0.8753071427345276
9,binary_accuracy,train,1,5,0.9029483795166016
10,auc,train,1,1,0.652749240398407
11,auc,train,1,2,0.8444445729255676
12,auc,train,1,3,0.9031566977500916
13,auc,train,1,4,0.9434269070625305
14,auc,train,1,5,0.9640427231788635
15,loss,val,1,1,0.5142797827720642
16,loss,val,1,2,0.3610997796058655
17,loss,val,1,3,0.31744080781936646
18,loss,val,1,4,0.3235110640525818
19,loss,val,1,5,0.2846197485923767
20,binary_accuracy,val,1,1,0.7990761995315552
21,binary_accuracy,val,1,2,0.8267898559570312
22,binary_accuracy,val,1,3,0.8591223955154419
23,binary_accuracy,val,1,4,0.8660507798194885
24,binary_accuracy,val,1,5,0.8729792237281799
25,auc,val,1,1,0.8926270008087158
26,auc,val,1,2,0.9245518445968628
27,auc,val,1,3,0.94569993019104
28,auc,val,1,4,0.9479085803031921
29,auc,val,1,5,0.9542787671089172
30,loss,train,2,1,0.7102819085121155
31,loss,train,2,2,0.5787354111671448
32,loss,train,2,3,0.49614259600639343
33,loss,train,2,4,0.455149382352829
34,loss,train,2,5,0.39534446597099304
35,binary_accuracy,train,2,1,0.5767813324928284
36,binary_accuracy,train,2,2,0.6953316926956177
37,binary_accuracy,train,2,3,0.7506142258644104
38,binary_accuracy,train,2,4,0.775798499584198
39,binary_accuracy,train,2,5,0.810196578502655
40,auc,train,2,1,0.5734490752220154
41,auc,train,2,2,0.7735382318496704
42,auc,train,2,3,0.8416059017181396
43,auc,train,2,4,0.8728187084197998
44,auc,train,2,5,0.9050708413124084
45,loss,val,2,1,0.6382728219032288
46,loss,val,2,2,0.49451377987861633
47,loss,val,2,3,0.4393773674964905
48,loss,val,2,4,0.44084951281547546
49,loss,val,2,5,0.3499622344970703
50,binary_accuracy,val,2,1,0.6166281700134277
51,binary_accuracy,val,2,2,0.7575057744979858
52,binary_accuracy,val,2,3,0.7806004881858826
53,binary_accuracy,val,2,4,0.8013857007026672
54,binary_accuracy,val,2,5,0.8545034527778625
55,auc,val,2,1,0.7813167572021484
56,auc,val,2,2,0.8618010878562927
57,auc,val,2,3,0.8993490934371948
58,auc,val,2,4,0.8858088254928589
59,auc,val,2,5,0.9299295544624329
